"id","table_schema","table_name","file_column_name","db_column_name","column_type","column_required","value_required","grouping"
258,"smps","sample_analysis","_33.08","raw_concentration_json","float64",True,True,"raw_concen"
259,"smps","sample_analysis","_33.68","raw_concentration_json","float64",True,True,"raw_concen"
260,"smps","sample_analysis","_34.29","raw_concentration_json","float64",True,True,"raw_concen"
261,"smps","sample_analysis","_34.91","raw_concentration_json","float64",True,True,"raw_concen"
262,"smps","sample_analysis","_35.55","raw_concentration_json","float64",True,True,"raw_concen"
263,"smps","sample_analysis","_36.19","raw_concentration_json","float64",True,True,"raw_concen"
264,"smps","sample_analysis","_36.85","raw_concentration_json","float64",True,True,"raw_concen"
265,"smps","sample_analysis","_37.52","raw_concentration_json","float64",True,True,"raw_concen"
266,"smps","sample_analysis","_38.20","raw_concentration_json","float64",True,True,"raw_concen"
267,"smps","sample_analysis","_38.89","raw_concentration_json","float64",True,True,"raw_concen"
268,"smps","sample_analysis","_39.60","raw_concentration_json","float64",True,True,"raw_concen"
269,"smps","sample_analysis","_40.32","raw_concentration_json","float64",True,True,"raw_concen"
270,"smps","sample_analysis","_41.05","raw_concentration_json","float64",True,True,"raw_concen"
271,"smps","sample_analysis","_41.79","raw_concentration_json","float64",True,True,"raw_concen"
272,"smps","sample_analysis","_42.55","raw_concentration_json","float64",True,True,"raw_concen"
273,"smps","sample_analysis","_43.32","raw_concentration_json","float64",True,True,"raw_concen"
274,"smps","sample_analysis","_44.11","raw_concentration_json","float64",True,True,"raw_concen"
275,"smps","sample_analysis","_44.91","raw_concentration_json","float64",True,True,"raw_concen"
276,"smps","sample_analysis","_45.73","raw_concentration_json","float64",True,True,"raw_concen"
277,"smps","sample_analysis","_46.56","raw_concentration_json","float64",True,True,"raw_concen"
278,"smps","sample_analysis","_47.40","raw_concentration_json","float64",True,True,"raw_concen"
279,"smps","sample_analysis","_48.26","raw_concentration_json","float64",True,True,"raw_concen"
280,"smps","sample_analysis","_49.14","raw_concentration_json","float64",True,True,"raw_concen"
281,"smps","sample_analysis","_50.03","raw_concentration_json","float64",True,True,"raw_concen"
282,"smps","sample_analysis","_50.94","raw_concentration_json","float64",True,True,"raw_concen"
283,"smps","sample_analysis","_51.86","raw_concentration_json","float64",True,True,"raw_concen"
284,"smps","sample_analysis","_52.80","raw_concentration_json","float64",True,True,"raw_concen"
285,"smps","sample_analysis","_53.76","raw_concentration_json","float64",True,True,"raw_concen"
286,"smps","sample_analysis","_54.74","raw_concentration_json","float64",True,True,"raw_concen"
287,"smps","sample_analysis","_55.73","raw_concentration_json","float64",True,True,"raw_concen"
288,"smps","sample_analysis","_56.74","raw_concentration_json","float64",True,True,"raw_concen"
289,"smps","sample_analysis","_57.77","raw_concentration_json","float64",True,True,"raw_concen"
290,"smps","sample_analysis","_58.82","raw_concentration_json","float64",True,True,"raw_concen"
291,"smps","sample_analysis","_59.89","raw_concentration_json","float64",True,True,"raw_concen"
292,"smps","sample_analysis","_60.98","raw_concentration_json","float64",True,True,"raw_concen"
293,"smps","sample_analysis","_62.08","raw_concentration_json","float64",True,True,"raw_concen"
294,"smps","sample_analysis","_63.21","raw_concentration_json","float64",True,True,"raw_concen"
295,"smps","sample_analysis","_64.36","raw_concentration_json","float64",True,True,"raw_concen"
296,"smps","sample_analysis","_65.52","raw_concentration_json","float64",True,True,"raw_concen"
297,"smps","sample_analysis","_66.71","raw_concentration_json","float64",True,True,"raw_concen"
298,"smps","sample_analysis","_67.93","raw_concentration_json","float64",True,True,"raw_concen"
299,"smps","sample_analysis","_69.16","raw_concentration_json","float64",True,True,"raw_concen"
300,"smps","sample_analysis","_70.41","raw_concentration_json","float64",True,True,"raw_concen"
301,"smps","sample_analysis","_71.69","raw_concentration_json","float64",True,True,"raw_concen"
302,"smps","sample_analysis","_72.99","raw_concentration_json","float64",True,True,"raw_concen"
303,"smps","sample_analysis","_74.32","raw_concentration_json","float64",True,True,"raw_concen"
304,"smps","sample_analysis","_75.67","raw_concentration_json","float64",True,True,"raw_concen"
305,"smps","sample_analysis","_77.04","raw_concentration_json","float64",True,True,"raw_concen"
306,"smps","sample_analysis","_78.44","raw_concentration_json","float64",True,True,"raw_concen"
307,"smps","sample_analysis","_79.86","raw_concentration_json","float64",True,True,"raw_concen"
308,"smps","sample_analysis","_81.31","raw_concentration_json","float64",True,True,"raw_concen"
309,"smps","sample_analysis","_82.79","raw_concentration_json","float64",True,True,"raw_concen"
310,"smps","sample_analysis","_84.29","raw_concentration_json","float64",True,True,"raw_concen"
311,"smps","sample_analysis","_85.82","raw_concentration_json","float64",True,True,"raw_concen"
312,"smps","sample_analysis","_87.38","raw_concentration_json","float64",True,True,"raw_concen"
313,"smps","sample_analysis","_88.96","raw_concentration_json","float64",True,True,"raw_concen"
314,"smps","sample_analysis","_90.58","raw_concentration_json","float64",True,True,"raw_concen"
315,"smps","sample_analysis","_92.22","raw_concentration_json","float64",True,True,"raw_concen"
316,"smps","sample_analysis","_93.90","raw_concentration_json","float64",True,True,"raw_concen"
317,"smps","sample_analysis","_95.60","raw_concentration_json","float64",True,True,"raw_concen"
318,"smps","sample_analysis","_97.34","raw_concentration_json","float64",True,True,"raw_concen"
319,"smps","sample_analysis","_99.10","raw_concentration_json","float64",True,True,"raw_concen"
